config_id,output_dim,width_mode,dropout,weight_decay,num_layers,num_folds,num_data_seeds,mean_outcome_rmse,std_outcome_rmse,mean_gps_ce,std_gps_ce,n_eval_folds,runtime_sec,z_outcome_rmse,z_gps_ce,joint_score,rank
cfg_001,6,split,0.0,0.0,2,3,2,1.5691276987393696,0.22889505985442068,2.8028375009695687,2.0884629905361174,6,10.31732988357544,-1.8289938342707757,-0.5866208276278855,-1.2078073309493305,1
cfg_017,12,split,0.0,0.0,2,3,2,1.6365836064020793,0.39625250288785363,2.4589874148368835,1.6870845973547877,6,8.797244787216187,-1.154003925581842,-0.7982623389507217,-0.9761331322662818,2
cfg_011,8,split,0.0,0.0001,2,3,2,1.6383614937464397,0.3891465412456931,2.5923683444658914,1.9647689497246466,6,9.26355504989624,-1.1362136970042431,-0.7161656850111469,-0.926189691007695,3
cfg_007,6,split,0.1,0.0001,2,3,2,1.7365103761355083,0.22930525999194923,1.3231619795163472,0.9755287815353992,6,24.805816173553467,-0.15409800903549745,-1.4973687851169026,-0.8257333970762001,4
cfg_013,8,split,0.1,0.0,2,3,2,1.742129385471344,0.30767049977178845,1.3489492237567902,0.7412422146679838,6,24.53582501411438,-0.09787202779924334,-1.4814966025466403,-0.7896843151729418,5
cfg_005,6,split,0.1,0.0,2,3,2,1.7940752903620403,0.22349613366341545,0.8271727561950684,0.24660625590403193,6,22.08047103881836,0.42191879280990957,-1.8026527244178472,-0.6903669658039688,6
cfg_009,8,split,0.0,0.0,2,3,2,1.7151649792989094,0.36391218089956706,2.2075401842594147,1.8522596352458323,6,7.15921425819397,-0.3676883076599983,-0.9530294134508046,-0.6603588605554015,7
cfg_021,12,split,0.1,0.0,2,3,2,1.6802904605865479,0.22491534312861677,3.1964356104532876,3.1643242274382533,6,30.016683101654053,-0.7166562337745048,-0.3443591499245362,-0.5305076918495205,8
cfg_023,12,split,0.1,0.0001,2,3,2,1.7019757429758708,0.1751744114999005,3.8800695737202964,1.937044948394222,6,36.2013521194458,-0.49966490881818026,0.07642109999408321,-0.21162190441204853,9
cfg_003,6,split,0.0,0.0001,2,3,2,1.7523590326309204,0.3059331352330919,3.2006566723187766,1.4966693457662599,6,10.030457019805908,0.0044897792153200215,-0.34176106445465343,-0.1686356426196667,10
cfg_014,8,full,0.1,0.0,2,3,2,1.730681836605072,0.1899709082613764,3.691192368666331,2.7411981268278836,6,31.408666133880615,-0.21242063045971243,-0.039833799289639,-0.1261272148746757,11
cfg_024,12,full,0.1,0.0001,2,3,2,1.671396255493164,0.2670189460048821,4.670614421367645,3.586452178143334,6,32.46934795379639,-0.805655090833285,0.563005553720245,-0.12132476855652002,12
cfg_004,6,full,0.0,0.0001,2,3,2,1.6803669730822246,0.23767173776743747,4.796864052613576,3.043414586332687,6,8.109677791595459,-0.7158906201424321,0.640712856520015,-0.03758888181120856,13
cfg_019,12,split,0.0,0.0001,2,3,2,1.7533592184384663,0.44267125579365235,3.6670175194740295,2.2684245136899057,6,9.74891710281372,0.0144980253467495,-0.05471354434541302,-0.02010775949933176,14
cfg_006,6,full,0.1,0.0,2,3,2,1.8584689696629841,0.24060755133253095,2.5571663677692413,1.6819805796138496,6,28.01512908935547,1.0662668598290495,-0.7378326842357897,0.16421708779662986,15
cfg_022,12,full,0.1,0.0,2,3,2,1.8182064096132915,0.1524553328908634,3.464710235595703,1.0897683184408409,6,33.13183808326721,0.6633841076257407,-0.17923472679788727,0.24207469041392674,16
cfg_015,8,split,0.1,0.0001,2,3,2,1.6577030420303345,0.18152008641993228,6.380223830540975,6.2565971135741165,6,32.24425411224365,-0.9426746822254697,1.6152790116060853,0.3363021646903078,17
cfg_002,6,full,0.0,0.0,2,3,2,1.709478775660197,0.22994652714997044,5.710868398348491,5.509934927604119,6,8.426545858383179,-0.4245866610862459,1.203287271616518,0.38935030526513603,18
cfg_012,8,full,0.0,0.0001,2,3,2,1.7894230286280315,0.2634277666325364,4.753077030181885,3.406666614049524,6,8.657365083694458,0.3753664620824474,0.6137617171208698,0.4945640896016586,19
cfg_010,8,full,0.0,0.0,2,3,2,1.9137381712595622,0.41501307135439286,3.0444434781869254,2.01742294047992,6,8.031385898590088,1.6193118729585332,-0.43791109561060004,0.5907003886739666,20
cfg_018,12,full,0.0,0.0,2,3,2,1.7899912198384602,0.298265460563431,5.390518546104431,4.93370184736184,6,8.06065320968628,0.38105200314970006,1.006110276131289,0.6935811396404945,21
cfg_020,12,full,0.0,0.0001,2,3,2,1.8222002983093262,0.36152415747312394,5.021956384181976,2.5608906921186914,6,8.90116286277771,0.7033485030309559,0.779258353995721,0.7413034285133384,22
cfg_016,8,full,0.1,0.0001,2,3,2,1.832183023293813,0.18637389237199706,6.2447278300921125,8.860097057309817,6,30.744467973709106,0.803239511234978,1.5318805206075077,1.167560015921243,23
cfg_008,6,full,0.1,0.0001,2,3,2,2.052072902520498,0.7075265721163975,6.910270979007085,8.513911710469866,6,34.59791612625122,3.0035427114080684,1.941525780468139,2.4725342459381037,24
