theta_d_dir,run,seed,n,val_frac,n_train,n_val,treated_proportion,dropout,outcome_mse,gps_macro_fnr
"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",1,123,2000,0.3,1404,596,0.646,0.0,1.8798174034874444,0.7182492853369198
"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",1,123,2000,0.3,1404,596,0.646,0.01,2.3374469800903235,0.697863370082201
"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",1,123,2000,0.3,1404,596,0.646,0.1,2.305765470864999,0.692705242933628
"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",2,124,2000,0.3,1404,596,0.607,0.0,2.1045160174637902,0.7365895647664751
"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",2,124,2000,0.3,1404,596,0.607,0.01,2.693153126229456,0.6663258055160048
"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",2,124,2000,0.3,1404,596,0.607,0.1,2.8084337047888956,0.6428621965582099
"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",3,125,2000,0.3,1405,595,0.5935,0.0,2.2196745383359295,0.7227337621298979
"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",3,125,2000,0.3,1405,595,0.5935,0.01,2.949461017737243,0.7439754013343931
"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",3,125,2000,0.3,1405,595,0.5935,0.1,2.7651532885632464,0.7006830215912445
"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",4,126,2000,0.3,1402,598,0.6415,0.0,1.6919754825424425,0.7060871975994002
"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",4,126,2000,0.3,1402,598,0.6415,0.01,2.2732696109663078,0.7358522100577976
"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",4,126,2000,0.3,1402,598,0.6415,0.1,2.2745203430280427,0.7072761464615579
"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",5,127,2000,0.3,1403,597,0.634,0.0,1.9930735733287255,0.6634109156913874
"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",5,127,2000,0.3,1403,597,0.634,0.01,2.202167868546031,0.6564626686312767
"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",5,127,2000,0.3,1403,597,0.634,0.1,2.5407509065869935,0.6576399701516517
