theta_name,theta_d_dir,run,seed,n,val_frac,n_train,n_val,treated_proportion,variant,use_plateau,plateau_factor,plateau_patience,plateau_min_lr,outcome_mse,gps_ce,gps_macro_fpr,gps_macro_fnr
out_dominant,"(-0.5, 0.4, 1.8, 0.1, 1.6, 1.0)",1,123,2000,0.3,1402,598,0.914,dirgnn_base,0,0.5,8,1e-05,2.670504252724822,0.4731401344049417,0.040751324989327514,0.6220758408258409
out_dominant,"(-0.5, 0.4, 1.8, 0.1, 1.6, 1.0)",1,123,2000,0.3,1402,598,0.914,dirgnn_plateau,1,0.5,8,1e-05,6.182135516007298,0.46392042606299183,0.04545955358132232,0.6371683871683872
out_dominant,"(-0.5, 0.4, 1.8, 0.1, 1.6, 1.0)",2,124,2000,0.3,1405,595,0.879,dirgnn_base,0,0.5,8,1e-05,3.1590580122873715,0.6327506329896625,0.043338936270916784,0.6139925819568819
out_dominant,"(-0.5, 0.4, 1.8, 0.1, 1.6, 1.0)",2,124,2000,0.3,1405,595,0.879,dirgnn_plateau,1,0.5,8,1e-05,3.808774486884094,0.5710412812540947,0.047832862509434984,0.622074154209284
out_dominant,"(-0.5, 0.4, 1.8, 0.1, 1.6, 1.0)",3,125,2000,0.3,1403,597,0.901,dirgnn_base,0,0.5,8,1e-05,3.007171996101868,0.46778093871889687,0.04844851276318686,0.6226908224196916
out_dominant,"(-0.5, 0.4, 1.8, 0.1, 1.6, 1.0)",3,125,2000,0.3,1403,597,0.901,dirgnn_plateau,1,0.5,8,1e-05,3.67576629781646,0.5246739400128011,0.05478226387322317,0.6759401092424802
out_dominant,"(-0.5, 0.4, 1.8, 0.1, 1.6, 1.0)",4,126,2000,0.3,1404,596,0.9045,dirgnn_base,0,0.5,8,1e-05,2.9073150994349803,0.7536428937476745,0.04663227466418897,0.6264971730397262
out_dominant,"(-0.5, 0.4, 1.8, 0.1, 1.6, 1.0)",4,126,2000,0.3,1404,596,0.9045,dirgnn_plateau,1,0.5,8,1e-05,4.338769238631958,0.5120853438514249,0.05293926192812633,0.6670894708128751
out_dominant,"(-0.5, 0.4, 1.8, 0.1, 1.6, 1.0)",5,127,2000,0.3,1404,596,0.912,dirgnn_base,0,0.5,8,1e-05,2.541882297909168,0.5461052023656335,0.04505381092206407,0.617389533170385
out_dominant,"(-0.5, 0.4, 1.8, 0.1, 1.6, 1.0)",5,127,2000,0.3,1404,596,0.912,dirgnn_plateau,1,0.5,8,1e-05,4.352915584979906,0.5838496788612725,0.080702962011565,0.7651403262433477
