theta_name,theta_d_dir,model,n,num_runs,clip,num_layers,output_dim,runtime_sec_theta_block,mse_tau_dir,mse_tau_in,mse_tau_out,mse_tau_tot,mean_mse_all
baseline,"(-0.5, 1.0, 0.8, 1.0, -0.6, 1.0)",gnn,2000,10,0.001,2,6,451.9356060028076,0.7644408870556466,0.13512254478643657,0.12571942084081994,0.20998289577943327,0.3088164371155841
baseline,"(-0.5, 1.0, 0.8, 1.0, -0.6, 1.0)",dirgnn,2000,10,0.001,2,6,451.9356060028076,0.31020946308227937,0.09523893612992196,0.5236135473846133,0.19307927643244988,0.2805353057573161
symmetric_moderate,"(-0.5, 1.0, 1.0, 0.8, 0.8, 1.0)",gnn,2000,10,0.001,2,6,477.2048110961914,1.2255036809351303,0.20941148371582008,0.7783453200647348,0.28738386170601454,0.625161086605425
symmetric_moderate,"(-0.5, 1.0, 1.0, 0.8, 0.8, 1.0)",dirgnn,2000,10,0.001,2,6,477.2048110961914,0.35079819293127334,0.45206128836377324,0.28436323426977383,0.4455577442094637,0.38319511494357106
in_dominant,"(-0.5, 1.8, 0.4, 1.6, 0.1, 1.0)",gnn,2000,10,0.001,2,6,488.72333908081055,0.7019198975959217,0.2862468031618657,0.7622255406465167,0.9588342902216844,0.6773066329064972
in_dominant,"(-0.5, 1.8, 0.4, 1.6, 0.1, 1.0)",dirgnn,2000,10,0.001,2,6,488.72333908081055,0.42974878048191084,0.45185476309165773,0.3993119958478964,0.5068006943652408,0.4469290584466764
out_dominant,"(-0.5, 0.4, 1.8, 0.1, 1.6, 1.0)",gnn,2000,10,0.001,2,6,500.6351511478424,3.584472263631915,0.25272531608257176,0.80696854742622,0.28442481891772836,1.232147736514609
out_dominant,"(-0.5, 0.4, 1.8, 0.1, 1.6, 1.0)",dirgnn,2000,10,0.001,2,6,500.6351511478424,0.7203557487156066,0.11471402481094675,0.3276318503437051,0.322962456656737,0.37141602013174885
asym_signflip,"(-0.5, 1.8, 0.2, 1.8, -1.4, 1.0)",gnn,2000,10,0.001,2,6,664.1333417892456,0.36963062602807567,0.5906838877418287,0.20235784749306215,0.17978005363655317,0.3356131037248799
asym_signflip,"(-0.5, 1.8, 0.2, 1.8, -1.4, 1.0)",dirgnn,2000,10,0.001,2,6,664.1333417892456,0.7015954166540632,0.25518431205092673,0.7195057772298764,0.33319184597683915,0.5023693379779264
weak_directional,"(-0.5, 0.6, 0.5, 0.3, -0.2, 1.0)",gnn,2000,10,0.001,2,6,429.7912290096283,0.4792261490997059,0.24227360088503178,0.06329462962417419,0.06470055200189734,0.21237373290270228
weak_directional,"(-0.5, 0.6, 0.5, 0.3, -0.2, 1.0)",dirgnn,2000,10,0.001,2,6,429.7912290096283,0.27317812193467345,0.3307596852592415,0.22707467151768296,0.3285735778975413,0.28989651415228485
